location	Tazewell County IL	#D46464
location	Peoria County	#D56565
location	Whiteside County	#D66767
location	Cook County IL	#D66868
location	Chicago	#D76969
location	Lake County IL	#D86A6A
location	Sussex County DE	#D96B6B
location	Kent County	#DA6C6C
location	Kings County NY	#DB6D6D
location	Brooklyn	#DC6E6E
location	New York City	#DD6F6F
location	Nassau County	#DE7171
location	Queens County	#DF7272
location	New York County	#E07373
location	Manhattan	#E07474
location	Bronx County	#E17575
location	Suffolk County	#E27676
location	Westchester County	#E37777
location	Dutchess County	#E47878
location	Ulster County	#E57979
location	Wayne County NY	#E67B7B
location	Erie County	#E77C7C
location	Cayuga County	#E87D7D
location	Herkimer County	#E97E7E
location	Monroe County NY	#EA7F7F
location	Warren County NY	#EA8080
location	Fairfield County CT	#EB8181
location	Lancaster County NE	#EC8282
location	USA	#ED8383
location	Johnson County IA	#EE8585
location	Fayette County IA	#EF8686
location	Chickasaw County	#F08787
location	Marion County OR	#F18888
location	Wasco County	#F28989
location	Washington County OR	#F38A8A
location	Milwaukee County	#F48B8B
location	Dane County	#F48C8C
location	Marquette County	#F58D8D
location	Dodge County	#F68F8F
location	Sauk County	#F79090
location	La Crosse County	#F89191
location	Winnebago County WI	#F99292
location	Outagamie County	#FA9393
location	Brown County WI	#FB9494
location	Oneida County WI	#FC9595
location	Marathon County	#FD9696
location	Barron County	#FE9797
location	Anchorage and Matanuska-Susitna	#FF9999

category	International	#BFBFBF
category	USA	#A6A6A6

group	Creighton	#121DE6
group	NPHL	#9306C2
group	UNMC	#DE0707

